Team,first_name,last_name
Boston College,Jim,Christian
Clemson,Brad,Brownell
Duke,Mike,Krzyzewski
Florida State,Leonard,Hamilton
Georgia Tech,Josh,Pastner
Louisville,Rick,Pitino
Miami (FL),Jim,Larrañaga
North Carolina State,Kevin,Keatts
North Carolina,Roy,Williams
Notre Dame,Mike,Brey
Pittsburgh,Kevin,Stallings
Syracuse,Jim,Boeheim
Virginia,Tony,Bennett
Virginia Tech,Buzz,Williams
Wake Forest,Danny,Manning
Butler,Chris,Holtmann
Creighton,Greg,McDermott
DePaul,Dave,Leitao
Georgetown,Patrick,Ewing
Marquette,Steve,Wojciechowski
Providence,Ed,Cooley
St. John's,Chris,Mullin
Seton Hall,Kevin,Willard
Villanova,Jay,Wright
Xavier,Chris,Mack
Illinois,Brad,Underwood
Indiana,Archie,Miller
Iowa,Fran,McCaffery
Maryland,Mark,Turgeon
Michigan,John,Beilein
Michigan State,Tom,Izzo
Minnesota,Richard,Pitino
Nebraska,Tim,Miles
Northwestern,Chris,Collins
Ohio State,Thad,Matta
Penn State,Pat,Chambers
Purdue,Matt,Painter
Rutgers,Steve,Pikiell
Wisconsin,Greg,Gard
Arizona,Sean,Miller
Arizona State,Bobby,Hurley
California,Wyking,Jones
Colorado,Tad,Boyle
Oregon,Dana,Altman
Oregon State,Wayne,Tinkle
Stanford,Jerod,Haase
UCLA,Steve,Alford
USC,Andy,Enfield
Utah,Larry,Krystkowiak
Washington,Mike,Hopkins
Washington State,Ernie,Kent
Alabama,Avery,Johnson
Arkansas,Mike,Anderson
Auburn,Bruce,Pearl
Florida,Michael,White
Georgia,Mark,Fox
Kentucky,John,Calipari
LSU,Will,Wade
Mississippi State,Ben,Howland
Missouri,Cuonzo,Martin
Ole Miss,Andy,Kennedy
South Carolina,Frank,Martin
Tennessee,Rick,Barnes
Texas A&M,Billy,Kennedy
Vanderbilt,Bryce,Drew
