Team,Conference
North Carolina,ACC
Florida State,ACC
Louisville,ACC
Notre Dame,ACC
Duke,ACC
Virginia,ACC
Virginia Tech,ACC
Miami (FL),ACC
Syracuse,ACC
Wake Forest,ACC
Georgia Tech,ACC
Clemson,ACC
Pittsburgh,ACC
North Carolina State,ACC
Boston College,ACC
Kentucky,SEC
Florida,SEC
Arkansas,SEC
South Carolina,SEC
Ole Miss,SEC
Alabama,SEC
Vanderbilt,SEC
Georgia,SEC
Texas A&M,SEC
Tennessee,SEC
Auburn,SEC
Mississippi State,SEC
LSU,SEC
Missouri,SEC
Arizona,PAC-12
Oregon,PAC-12
UCLA,PAC-12
Utah,PAC-12
USC,PAC-12
California,PAC-12
Colorado,PAC-12
Arizona State,PAC-12
Stanford,PAC-12
Washington State,PAC-12
Washington,PAC-12
Oregon State,PAC-12
Villanova,Big East
Butler,Big East
Creighton,Big East
Seton Hall,Big East
Providence,Big East
Marquette,Big East
Xavier,Big East
St. John's,Big East
Georgetown,Big East
DePaul,Big East
Purdue,Big Ten
Wisconsin,Big Ten
Maryland,Big Ten
Minnesota,Big Ten
Michigan,Big Ten
Northwestern,Big Ten
Michigan State,Big Ten
Iowa,Big Ten
Illinois,Big Ten
Ohio State,Big Ten
Indiana,Big Ten
Penn State,Big Ten
Nebraska,Big Ten
Rutgers,Big Ten
